category_num,product_id,user_num,num_photo,rating,date,num_helpful
31,6577832726,140,10,5,2024.04.09,3
31,6577832726,141,5,5,2024.04.21,0
32,7415163807,10,0,5,2024.02.07,0
32,7415163807,142,10,5,2024.05.02,1
32,7415163807,143,10,5,2024.04.23,3
32,7415163807,144,11,5,2024.05.06,3
32,7415163807,145,10,5,2024.04.07,11
32,7415163807,146,10,5,2024.04.25,19
33,1349921951,10,0,5,2024.02.07,0
33,1349921951,147,10,4,2024.05.13,3
33,1349921951,148,10,5,2024.05.07,9
33,1349921951,149,6,5,2024.04.15,10
33,1349921951,150,10,5,2024.05.05,2
33,1349921951,151,10,5,2024.03.30,9
34,6874914551,11,0,5,2024.05.21,0
34,6874914551,152,0,5,2023.10.24,0
34,6874914551,153,0,4,2023.12.18,0
34,6874914551,154,0,3,2022.12.09,1
34,6874914551,155,0,1,2023.01.09,0
34,6874914551,156,0,3,2023.03.30,0
35,6101789534,11,3,5,2024.03.28,1
35,6101789534,157,10,5,2024.03.29,1
35,6101789534,158,5,5,2024.03.28,6
35,6101789534,159,10,5,2024.01.15,13
35,6101789534,160,10,5,2024.01.03,9
35,6101789534,161,5,5,2024.04.23,0
36,6840913186,11,3,5,2024.03.27,2
36,6840913186,162,10,5,2024.03.08,5
36,6840913186,163,8,5,2024.01.26,13
36,6840913186,164,10,5,2024.01.03,16
36,6840913186,165,10,5,2023.09.24,30
36,6840913186,166,10,5,2023.04.08,49
37,7559305477,12,10,5,2024.05.20,0
37,7559305477,167,10,5,2024.05.13,0
37,7559305477,168,10,5,2024.05.10,2
37,7559305477,169,7,5,2024.05.09,0
37,7559305477,12,10,5,2024.05.20,0
37,7559305477,170,0,5,2024.04.08,0
38,149452038,12,8,5,2024.05.17,0
38,149452038,171,10,5,2024.04.30,9
38,149452038,172,10,5,2024.04.27,7
38,149452038,173,9,5,2024.03.13,5
